STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065465,"AXIM, GH",2020/12/4,,84,89,81
GHM00065465,"AXIM, GH",2020/12/5,,84,89,81
GHM00065465,"AXIM, GH",2020/12/6,,83,89,80
GHM00065465,"AXIM, GH",2020/12/7,,84,,79
GHM00065465,"AXIM, GH",2020/12/9,,83,,76
GHM00065465,"AXIM, GH",2020/12/10,,81,87,77
GHM00065465,"AXIM, GH",2020/12/11,,83,89,78
GHM00065465,"AXIM, GH",2020/12/12,,83,88,79
GHM00065465,"AXIM, GH",2020/12/13,1.34,77,,
GHM00065465,"AXIM, GH",2020/12/15,,83,88,75
GHM00065465,"AXIM, GH",2020/12/16,0.12,84,88,
GHM00065465,"AXIM, GH",2020/12/17,0,82,87,76
GHM00065465,"AXIM, GH",2020/12/18,0.08,81,,
GHM00065465,"AXIM, GH",2020/12/19,0,83,87,
GHM00065465,"AXIM, GH",2020/12/20,,82,88,75
GHM00065465,"AXIM, GH",2020/12/21,0.04,82,88,77
GHM00065465,"AXIM, GH",2020/12/22,0.02,83,88,79
GHM00065465,"AXIM, GH",2020/12/23,0,83,88,76
GHM00065465,"AXIM, GH",2020/12/24,,83,89,77
GHM00065465,"AXIM, GH",2020/12/25,,83,,78
GHM00065465,"AXIM, GH",2020/12/27,,85,89,
GHM00065465,"AXIM, GH",2020/12/28,,84,89,80
GHM00065465,"AXIM, GH",2020/12/29,,83,88,78
GHM00065465,"AXIM, GH",2020/12/30,,84,89,80
GHM00065465,"AXIM, GH",2021/1/1,,85,88,
GHM00065465,"AXIM, GH",2021/1/2,,84,89,81
GHM00065465,"AXIM, GH",2021/1/3,,84,89,
GHM00065465,"AXIM, GH",2021/1/4,,84,88,76
GHM00065465,"AXIM, GH",2021/1/7,,76,80,
GHM00065465,"AXIM, GH",2021/1/8,,82,,74
GHM00065465,"AXIM, GH",2021/1/9,,83,87,
GHM00065465,"AXIM, GH",2021/1/10,,84,88,80
GHM00065465,"AXIM, GH",2021/1/11,,83,88,79
GHM00065465,"AXIM, GH",2021/1/12,,83,87,77
GHM00065465,"AXIM, GH",2021/1/13,,83,86,
GHM00065465,"AXIM, GH",2021/1/14,,83,87,80
GHM00065465,"AXIM, GH",2021/1/17,,84,88,
GHM00065465,"AXIM, GH",2021/1/18,,83,87,76
GHM00065465,"AXIM, GH",2021/1/21,,85,87,
GHM00065465,"AXIM, GH",2021/1/22,,82,87,77
GHM00065465,"AXIM, GH",2021/1/23,,82,85,79
GHM00065465,"AXIM, GH",2021/1/24,,79,85,75
GHM00065465,"AXIM, GH",2021/1/25,,81,85,76
GHM00065465,"AXIM, GH",2021/1/26,,83,86,
GHM00065465,"AXIM, GH",2021/1/27,,82,87,79
GHM00065465,"AXIM, GH",2021/1/28,,84,89,80
GHM00065465,"AXIM, GH",2021/1/29,,83,88,
GHM00065465,"AXIM, GH",2021/1/30,,81,88,74
GHM00065465,"AXIM, GH",2021/1/31,,84,88,80
GHM00065465,"AXIM, GH",2021/2/1,,85,89,
GHM00065465,"AXIM, GH",2021/2/2,,85,89,81
GHM00065465,"AXIM, GH",2021/2/3,,84,89,81
GHM00065465,"AXIM, GH",2021/2/4,,85,88,82
GHM00065465,"AXIM, GH",2021/2/6,,87,89,
GHM00065465,"AXIM, GH",2021/2/7,,86,89,
GHM00065465,"AXIM, GH",2021/2/14,,84,89,
GHM00065465,"AXIM, GH",2021/2/15,1.02,83,89,76
GHM00065465,"AXIM, GH",2021/2/16,0,84,,
GHM00065465,"AXIM, GH",2021/2/17,,82,89,77
GHM00065465,"AXIM, GH",2021/3/3,,86,90,82
GHM00065465,"AXIM, GH",2021/3/4,,85,90,
GHM00065465,"AXIM, GH",2021/3/5,,86,91,81
GHM00065465,"AXIM, GH",2021/3/6,0.31,83,89,77
GHM00065465,"AXIM, GH",2021/3/7,0,83,89,79
GHM00065465,"AXIM, GH",2021/3/8,,83,90,82
GHM00065465,"AXIM, GH",2021/3/9,,84,89,
GHM00065465,"AXIM, GH",2021/3/10,,81,89,77
GHM00065465,"AXIM, GH",2021/3/12,,86,89,
GHM00065465,"AXIM, GH",2021/3/13,,82,,77
GHM00065465,"AXIM, GH",2021/3/14,,82,86,78
GHM00065465,"AXIM, GH",2021/3/21,,83,87,77
GHM00065465,"AXIM, GH",2021/3/23,0.01,82,87,76
GHM00065465,"AXIM, GH",2021/3/24,0,82,,
GHM00065465,"AXIM, GH",2021/3/25,0.91,83,87,71
GHM00065465,"AXIM, GH",2021/3/26,0,81,,75
GHM00065465,"AXIM, GH",2021/4/2,,86,90,82
