Date,Price,Open,High,Low,Vol.,Change %
2016/4/12,3.8062,3.85,3.862,3.79,,-0.10%
2016/4/11,3.81,3.845,3.97,3.8125,,-0.39%
2016/4/8,3.825,3.845,3.87,3.79,,0.13%
2016/4/7,3.82,3.845,3.9163,3.7785,,0.00%
2016/4/6,3.82,3.965,3.965,3.795,,0.26%
2016/4/5,3.81,3.855,3.89,3.7863,,0.00%
2016/4/4,3.81,3.965,3.965,3.7975,,0.01%
2016/4/1,3.8096,3.84,3.88,3.781,,0.09%
2016/3/31,3.8062,3.965,3.965,3.81,,-0.42%
2016/3/30,3.8224,3.965,3.965,3.75,,0.14%
2016/3/29,3.8172,3.965,3.98,3.7725,,0.13%
2016/3/28,3.8124,3.965,3.965,3.8412,,-0.46%
2016/3/25,3.83,3.965,3.965,3.845,,0.46%
2016/3/24,3.8124,3.965,4.01,3.786,,-0.23%
2016/3/23,3.821,3.965,3.965,3.7725,,-0.23%
2016/3/22,3.83,3.965,3.965,3.835,,0.56%
2016/3/21,3.8086,3.965,3.965,3.775,,-0.62%
2016/3/18,3.8324,3.965,3.965,3.765,,0.56%
2016/3/17,3.8112,3.965,3.985,3.8306,,-0.75%
2016/3/16,3.84,3.965,3.965,3.7935,,0.00%
2016/3/15,3.84,3.965,3.965,3.825,,0.36%
2016/3/14,3.8262,3.965,3.965,3.8275,,-0.16%
2016/3/11,3.8324,3.965,3.985,3.7965,,-0.26%
2016/3/10,3.8424,3.965,3.985,3.8015,,0.41%
2016/3/9,3.8268,3.965,3.965,3.825,,-0.50%
2016/3/8,3.8462,3.965,3.965,3.82,,0.36%
2016/3/7,3.8324,3.965,3.9908,3.81,,-0.36%
2016/3/4,3.8462,3.965,3.985,3.8175,,-0.36%
2016/3/3,3.86,3.965,3.985,3.795,,-1.53%
2016/3/2,3.92,3.965,3.985,3.825,,0.00%
2016/3/1,3.92,3.965,3.965,3.8675,,2.18%
2016/2/29,3.8362,3.965,3.9958,3.8575,,-1.66%
2016/2/26,3.9011,3.965,3.99,3.8581,,-0.38%
2016/2/25,3.9161,3.965,3.99,3.83,,0.10%
2016/2/24,3.9122,3.965,4.025,3.86,,-1.26%
2016/2/23,3.962,3.965,4.025,3.8613,,-0.10%
2016/2/22,3.966,3.965,3.9852,3.83,,0.10%
2016/2/19,3.962,3.965,3.995,3.83,,-0.10%
2016/2/18,3.966,3.98,3.995,3.915,,0.10%
2016/2/17,3.962,3.965,3.9914,3.875,,0.50%
2016/2/16,3.9422,3.965,3.995,3.935,,-0.45%
2016/2/15,3.96,3.965,4,3.92,,-0.25%
2016/2/12,3.97,3.965,4.045,3.865,,0.25%
2016/2/11,3.96,3.975,4.0225,3.9323,,2.49%
2016/2/10,3.8639,3.965,4.01,3.892,,-0.84%
2016/2/9,3.8968,3.965,4.02,3.91,,-0.10%
2016/2/8,3.9007,3.965,4.02,3.9,,1.58%
2016/2/5,3.84,3.965,4.03,3.8412,,-3.76%
2016/2/4,3.99,3.965,4.035,3.855,,0.00%
2016/2/3,3.99,3.965,4.04,3.865,,0.55%
2016/2/2,3.968,3.965,4.07,3.855,,-0.30%
2016/2/1,3.98,3.965,4.075,3.835,,1.12%
2016/1/29,3.9361,3.97,4.08,3.925,,-0.50%
2016/1/28,3.956,3.965,4.0675,3.8412,,-0.25%
2016/1/27,3.966,3.965,4.06,3.875,,0.50%
2016/1/26,3.9461,3.965,4.135,3.81,,-0.10%
2016/1/25,3.95,3.965,4.0754,3.8,,3.57%
2016/1/22,3.8138,3.965,4.03,3.8024,,-1.00%
2016/1/21,3.8522,3.965,4.0155,3.855,,1.14%
2016/1/20,3.8089,3.965,4.01,3.7924,,-0.45%
2016/1/19,3.8262,3.965,4.015,3.795,,-2.39%
2016/1/18,3.92,3.81,4.01,3.8,,3.74%
2016/1/15,3.7786,3.81,4.019,3.7943,,-0.57%
2016/1/14,3.8003,3.81,4.06,3.7675,,-0.68%
2016/1/13,3.8262,3.81,4.02,3.795,,1.26%
2016/1/12,3.7786,3.81,3.955,3.79,,-0.26%
2016/1/11,3.7886,3.81,3.905,3.7675,,-0.72%
2016/1/8,3.8162,3.81,3.865,3.79,,0.43%
2016/1/7,3.8,3.815,3.885,3.7675,,-0.26%
2016/1/6,3.81,3.81,3.88,3.765,,0.26%
2016/1/5,3.8,3.83,3.855,3.7563,,0.10%
2016/1/4,3.7962,3.83,3.855,3.79,,0.43%
2016/1/1,3.78,3.81,3.88,3.82,,-0.53%
2015/12/31,3.8,3.83,3.853,3.785,,0.10%
2015/12/30,3.7962,3.83,3.855,3.785,,-0.10%
2015/12/29,3.8,3.83,3.855,3.7513,,-0.26%
2015/12/28,3.81,3.83,3.845,3.7722,,0.79%
2015/12/25,3.78,3.78,3.78,3.78,,-0.53%
2015/12/24,3.8,3.815,3.8498,3.795,,-0.51%
2015/12/23,3.8195,3.8012,3.85,3.796,,0.25%
2015/12/22,3.81,3.83,3.855,3.7863,,1.28%
2015/12/21,3.762,3.83,3.855,3.76,,0.15%
2015/12/18,3.7562,3.83,3.8485,3.7781,,-0.89%
2015/12/17,3.79,3.83,3.855,3.7605,,0.00%
